Type,Active,Name,Imdb id,Movie Tier,Production Cost,Rank,Price
Actor,TRUE,Logan Miller,nm2383250,,,4,5000
Actor,TRUE,James Preston Rogers,nm2286416,,,5,5000
Actor,TRUE,Georgina Campbell,nm3569284,,,6,2500
Actor,TRUE,Yan Joseph,nm2845784,,,7,2500
Actor,TRUE,David Tomlinson,nm9460955,,,8,2500
Actor,TRUE,Josh Strait,nm1382676,,,9,2500
Actor,TRUE,Stephen Adekolu,nm9522926,,,10,2500
Actor,TRUE,Cassandra Ebner,nm5071850,,,11,1000
Actor,TRUE,Aaron Merke,nm2430074,,,12,1000
Actor,TRUE,Michael Strickland,nm5482340,,,13,1000
Actor,TRUE,Terry Ray,nm2875368,,,14,1000
Actor,TRUE,Derek Kun,nm10821676,,,15,1000
,,,,,,,
Movie,TRUE,I Was a Stranger,tt21272942,Mainstream,0,,0
Director,TRUE,Brandt Andersen,nm4036280,,,,
Actor,TRUE,Yasmine Al Massri,nm2316907,,,1,0
Actor,TRUE,Yahya Mahayni,nm8284773,,,2,0
Actor,TRUE,Omar Sy,nm1082477,,,3,0
Actor,TRUE,Ziad Bakri,nm2865678,,,4,0
Actor,TRUE,Constantine Markoulakis,nm0548607,,,5,0
Actor,TRUE,Ayman Samman,nm2942686,,,6,0
Actor,TRUE,Jason Beghe,nm0000892,,,7,0
Actor,TRUE,Jay Abdo,nm2178881,,,8,0
Actor,TRUE,Vicky Papadopoulou,nm1779556,,,9,0
Actor,TRUE,Fares Helou,nm1097214,,,10,0
Actor,TRUE,Saleh Bakri,nm2759746,,,11,0
Actor,TRUE,Ioanna Meli,nm3695516,,,12,0
Actor,TRUE,Yumna Marwan,nm6575696,,,13,0
Actor,TRUE,Baeyen Hoffman,nm12065377,,,14,0
Actor,TRUE,Carlos Chahine,nm1178312,,,15,0
,,,,,,,
Movie,TRUE,The Dog Stars,tt21285562,Indie,5000000,,25000
Director,TRUE,Ridley Scott,nm0000631,,,,5000
Actor,TRUE,Josh Brolin,nm0000982,,,1,5000
Actor,TRUE,Jacob Elordi,nm8624059,,,2,5000
Actor,TRUE,Margaret Qualley,nm4960279,,,3,5000
Actor,TRUE,Guy Pearce,nm0001602,,,4,5000
Actor,TRUE,Benedict Wong,nm0938950,,,5,5000
Actor,TRUE,Alara-Star Khan,nm13893691,,,6,2500
,,,,,,,
Movie,TRUE,Avengers: Doomsday,tt21361438,Blockbuster,150000000,,100000
Director,TRUE,Anthony Russo,nm0751577,,,,25000
Director,TRUE,Joe Russo,nm0751648,,,,25000
Actor,TRUE,Robert Downey Jr.,nm0000375,,,1,25000
Actor,TRUE,Pedro Pascal,nm0050959,,,2,25000
Actor,TRUE,Vanessa Kirby,nm3948952,,,3,25000
Actor,TRUE,Ebon Moss-Bachrach,nm0609114,,,4,25000
Actor,TRUE,Joseph Quinn,nm4806449,,,5,25000
,,,,,,,
Movie,TRUE,Revolt,tt21438146,Indie,5000000,,25000
Director,TRUE,Darius Burke,nm6507001,,,,5000
Actor,TRUE,Laura Gómez,nm0327041,,,1,5000
Actor,TRUE,Courtney Gonzalez,nm8551937,,,2,5000
Actor,TRUE,J.R. Fortin,nm7581802,,,3,5000
Actor,TRUE,Joe Hawk,nm9643407,,,4,5000
Actor,TRUE,Darius Burke,nm6507001,,,5,5000
Actor,TRUE,Joseph Pizzo,nm7968142,,,6,2500
Actor,TRUE,Christopher Fyfe,nm7516476,,,7,2500
Actor,TRUE,David Michael Pepe III,nm8025440,,,8,2500
Actor,TRUE,Samantha Updike,nm8702006,,,9,2500
Actor,TRUE,Michael David Kehoe,nm8192787,,,10,2500
Actor,TRUE,Reggie Jean,nm9685102,,,11,1000
Actor,TRUE,Caitlynn McCauley,nm9568168,,,12,1000
Actor,TRUE,Lenny Barcelos,nm8993252,,,13,1000
Actor,TRUE,Lenio Barcelos,nm9686998,,,14,1000
Actor,TRUE,Sabrina Bryant,nm14991445,,,15,1000
,,,,,,,
Movie,TRUE,Youngblood,tt22005882,Indie,5000000,,25000
Director,TRUE,Hubert Davis,nm1788269,,,,5000
Actor,TRUE,Ashton James,nm9656790,,,1,5000
Actor,TRUE,Blair Underwood,nm0005516,,,2,5000
Actor,TRUE,Shawn Doyle,nm0236495,,,3,5000
Actor,TRUE,Alexandra McDonald,nm9992117,,,4,5000
Actor,TRUE,Olunike Adeliyi,nm1583978,,,5,5000
Actor,TRUE,Henri Richer-Picard,nm2338836,,,6,2500
Actor,TRUE,Emidio Lopes,nm10269518,,,7,2500
Actor,TRUE,Donald MacLean Jr.,nm10021823,,,8,2500
Actor,TRUE,Tamara Podemski,nm0687947,,,9,2500
Actor,TRUE,Joris Jarsky,nm0419005,,,10,2500
Actor,TRUE,Matt Wells,nm5343801,,,11,1000
Actor,TRUE,Keris Hope Hill,nm13899262,,,12,1000
Actor,TRUE,Jonathan Valvano,nm10480644,,,13,1000
Actor,TRUE,Ty Neckar,nm15155004,,,14,1000
Actor,TRUE,Dylan Hawco,nm15505477,,,15,1000
,,,,,,,
Movie,TRUE,People We Meet on Vacation,tt22740896,Mainstream,0,,0
Director,TRUE,Brett Haley,nm1417640,,,,
Actor,TRUE,Emily Bader,nm7515939,,,1,0
Actor,TRUE,Tom Blyth,nm3880241,,,2,0
Actor,TRUE,Sarah Catherine Hook,nm7511512,,,3,0
Actor,TRUE,Lucien Laviscount,nm1620741,,,4,0
Actor,TRUE,Miles Heizer,nm1851028,,,5,0
Actor,TRUE,Jameela Jamil,nm3553139,,,6,0
Actor,TRUE,Tommy Do,nm4484620,,,7,0
Actor,TRUE,Lukas Gage,nm4965072,,,8,0
Actor,TRUE,Alice Lee,nm5333857,,,9,0
Actor,TRUE,Molly Shannon,nm0788340,,,10,0
Actor,TRUE,Alan Ruck,nm0001688,,,11,0
Actor,TRUE,Spencer Neville,nm5863978,,,12,0
Actor,TRUE,Ian Porter,nm0692139,,,13,0
Actor,TRUE,Madeleine Akua,nm12471663,,,14,0
Actor,TRUE,John Jabaley,nm0002540,,,15,0
,,,,,,,
Movie,TRUE,Return to Silent Hill,tt22868010,Mainstream,50000000,,50000
Director,TRUE,Christophe Gans,nm0304521,,,,15000
Actor,TRUE,Jeremy Irvine,nm3528539,,,1,15000
Actor,TRUE,Hannah Emily Anderson,nm5557932,,,2,15000
Actor,TRUE,Robert Strange,nm6003807,,,3,15000
Actor,TRUE,Evie Templeton,nm12024632,,,4,15000
Actor,TRUE,Pearse Egan,nm9043183,,,5,15000
Actor,TRUE,Eve Macklin,nm2984440,,,6,10000
Actor,TRUE,Emily Carding,nm6205905,,,7,10000
Actor,TRUE,Martine Richards,nm4517780,,,8,10000
Actor,TRUE,Howard Saddler,nm1475071,,,9,10000
Actor,TRUE,Matteo Pasquini,nm10547340,,,10,10000
Actor,TRUE,Melissa Graham,nm4622020,,,11,5000
Actor,TRUE,Lara Duru,nm15010705,,,12,5000
Actor,TRUE,Karya Duru,nm14742529,,,13,5000
Actor,TRUE,Sandy E. Scott,nm5004782,,,14,5000
Actor,TRUE,Nicola Alexis,nm1273937,,,15,5000
,,,,,,,
Movie,TRUE,Jimpa,tt23745668,Indie,5000000,,25000
Director,TRUE,Sophie Hyde,nm1170520,,,,5000
Actor,TRUE,Aud Mason-Hyde,nm4928345,,,1,5000
Actor,TRUE,Olivia Colman,nm1469236,,,2,5000
Actor,TRUE,John Lithgow,nm0001475,,,3,5000
Actor,TRUE,Bryn Chapman Parish,nm8970983,,,4,5000
Actor,TRUE,Hans Kesting,nm0450453,,,5,5000
Actor,TRUE,Deborah Kennedy,nm0447992,,,6,2500
Actor,TRUE,Nicholas Brown,nm0114344,,,7,2500
Actor,TRUE,Daniel Henshall,nm2989873,,,8,2500
Actor,TRUE,Kate Box,nm2094547,,,9,2500
Actor,TRUE,Arjan Ederveen,nm0249179,,,10,2500
Actor,TRUE,Eamon Farren,nm1181180,,,11,1000
Actor,TRUE,Romana Vrede,nm0904043,,,12,1000
Actor,TRUE,Teun Stokkel,nm4715428,,,13,1000
Actor,TRUE,Hanna van Vliet,nm4174886,,,14,1000
Actor,TRUE,Tilda Cobham-Hervey,nm5315479,,,15,1000
,,,,,,,
Movie,TRUE,Animal Farm,tt2467700,Indie,5000000,,25000
Director,TRUE,Andy Serkis,nm0785227,,,,5000
Actor,TRUE,Glenn Close,nm0000335,,,1,5000
Actor,TRUE,Gaten Matarazzo,nm7140802,,,2,5000
Actor,TRUE,Kieran Culkin,nm0001085,,,3,5000
Actor,TRUE,Woody Harrelson,nm0000437,,,4,5000
Actor,TRUE,Seth Rogen,nm0736622,,,5,5000
Actor,TRUE,Andy Serkis,nm0785227,,,6,2500
