movie_name,movie_imdb_id,release_date,actor_name,actor_imdb_id,rank
I Was a Stranger,tt21272942,2026-01-09 00:00:00,Baeyen Hoffman,nm12065377,14
I Was a Stranger,tt21272942,2026-01-09 00:00:00,Carlos Chahine,nm1178312,15
The Dog Stars,tt21285562,2026-03-27 00:00:00,Josh Brolin,nm0000982,1
The Dog Stars,tt21285562,2026-03-27 00:00:00,Jacob Elordi,nm8624059,2
The Dog Stars,tt21285562,2026-03-27 00:00:00,Margaret Qualley,nm4960279,3
The Dog Stars,tt21285562,2026-03-27 00:00:00,Guy Pearce,nm0001602,4
The Dog Stars,tt21285562,2026-03-27 00:00:00,Benedict Wong,nm0938950,5
The Dog Stars,tt21285562,2026-03-27 00:00:00,Alara-Star Khan,nm13893691,6
Avengers: Doomsday,tt21361438,2026-05-01 00:00:00,Robert Downey Jr.,nm0000375,1
Avengers: Doomsday,tt21361438,2026-05-01 00:00:00,Pedro Pascal,nm0050959,2
Avengers: Doomsday,tt21361438,2026-05-01 00:00:00,Vanessa Kirby,nm3948952,3
Avengers: Doomsday,tt21361438,2026-05-01 00:00:00,Ebon Moss-Bachrach,nm0609114,4
Avengers: Doomsday,tt21361438,2026-05-01 00:00:00,Joseph Quinn,nm4806449,5
Revolt,tt21438146,2026-05-01 00:00:00,Laura Gómez,nm0327041,1
Revolt,tt21438146,2026-05-01 00:00:00,Courtney Gonzalez,nm8551937,2
Revolt,tt21438146,2026-05-01 00:00:00,J.R. Fortin,nm7581802,3
Revolt,tt21438146,2026-05-01 00:00:00,Joe Hawk,nm9643407,4
Revolt,tt21438146,2026-05-01 00:00:00,Darius Burke,nm6507001,5
Revolt,tt21438146,2026-05-01 00:00:00,Joseph Pizzo,nm7968142,6
Revolt,tt21438146,2026-05-01 00:00:00,Christopher Fyfe,nm7516476,7
Revolt,tt21438146,2026-05-01 00:00:00,David Michael Pepe III,nm8025440,8
Revolt,tt21438146,2026-05-01 00:00:00,Samantha Updike,nm8702006,9
Revolt,tt21438146,2026-05-01 00:00:00,Michael David Kehoe,nm8192787,10
Revolt,tt21438146,2026-05-01 00:00:00,Reggie Jean,nm9685102,11
Revolt,tt21438146,2026-05-01 00:00:00,Caitlynn McCauley,nm9568168,12
Revolt,tt21438146,2026-05-01 00:00:00,Lenny Barcelos,nm8993252,13
Revolt,tt21438146,2026-05-01 00:00:00,Lenio Barcelos,nm9686998,14
Revolt,tt21438146,2026-05-01 00:00:00,Sabrina Bryant,nm14991445,15
Youngblood,tt22005882,2026-03-06 00:00:00,Ashton James,nm9656790,1
Youngblood,tt22005882,2026-03-06 00:00:00,Blair Underwood,nm0005516,2
Youngblood,tt22005882,2026-03-06 00:00:00,Shawn Doyle,nm0236495,3
Youngblood,tt22005882,2026-03-06 00:00:00,Alexandra McDonald,nm9992117,4
Youngblood,tt22005882,2026-03-06 00:00:00,Olunike Adeliyi,nm1583978,5
Youngblood,tt22005882,2026-03-06 00:00:00,Henri Richer-Picard,nm2338836,6
Youngblood,tt22005882,2026-03-06 00:00:00,Emidio Lopes,nm10269518,7
Youngblood,tt22005882,2026-03-06 00:00:00,Donald MacLean Jr.,nm10021823,8
Youngblood,tt22005882,2026-03-06 00:00:00,Tamara Podemski,nm0687947,9
Youngblood,tt22005882,2026-03-06 00:00:00,Joris Jarsky,nm0419005,10
Youngblood,tt22005882,2026-03-06 00:00:00,Matt Wells,nm5343801,11
Youngblood,tt22005882,2026-03-06 00:00:00,Keris Hope Hill,nm13899262,12
Youngblood,tt22005882,2026-03-06 00:00:00,Jonathan Valvano,nm10480644,13
Youngblood,tt22005882,2026-03-06 00:00:00,Ty Neckar,nm15155004,14
Youngblood,tt22005882,2026-03-06 00:00:00,Dylan Hawco,nm15505477,15
People We Meet on Vacation,tt22740896,2026-01-09 00:00:00,Emily Bader,nm7515939,1
People We Meet on Vacation,tt22740896,2026-01-09 00:00:00,Tom Blyth,nm3880241,2
People We Meet on Vacation,tt22740896,2026-01-09 00:00:00,Sarah Catherine Hook,nm7511512,3
People We Meet on Vacation,tt22740896,2026-01-09 00:00:00,Lucien Laviscount,nm1620741,4
People We Meet on Vacation,tt22740896,2026-01-09 00:00:00,Miles Heizer,nm1851028,5
People We Meet on Vacation,tt22740896,2026-01-09 00:00:00,Jameela Jamil,nm3553139,6
People We Meet on Vacation,tt22740896,2026-01-09 00:00:00,Tommy Do,nm4484620,7
People We Meet on Vacation,tt22740896,2026-01-09 00:00:00,Lukas Gage,nm4965072,8
People We Meet on Vacation,tt22740896,2026-01-09 00:00:00,Alice Lee,nm5333857,9
People We Meet on Vacation,tt22740896,2026-01-09 00:00:00,Molly Shannon,nm0788340,10
People We Meet on Vacation,tt22740896,2026-01-09 00:00:00,Alan Ruck,nm0001688,11
People We Meet on Vacation,tt22740896,2026-01-09 00:00:00,Spencer Neville,nm5863978,12
People We Meet on Vacation,tt22740896,2026-01-09 00:00:00,Ian Porter,nm0692139,13
People We Meet on Vacation,tt22740896,2026-01-09 00:00:00,Madeleine Akua,nm12471663,14
People We Meet on Vacation,tt22740896,2026-01-09 00:00:00,John Jabaley,nm0002540,15
Return to Silent Hill,tt22868010,2026-01-23 00:00:00,Jeremy Irvine,nm3528539,1
Return to Silent Hill,tt22868010,2026-01-23 00:00:00,Hannah Emily Anderson,nm5557932,2
Return to Silent Hill,tt22868010,2026-01-23 00:00:00,Robert Strange,nm6003807,3
